image_name,cucumber,chicken,shrimp,brocolli,bean,salmon,pork,rice,pumpkin,egg_dish,nut,carrot,king_oyster,vegetable,winter_melon,mango,avocado,baby_corn,beef,sprout,eggplant,mushroom,potato,brocoli,corn,toast,onion,cabbage,egg,green_pepper,green_bean,tofu,fish,tomato,lemon,yam,high,calories,protein,fat,carbs,GMM
雞腿餐04,0.0,0.48339338467580806,0.0,0.0,0.03752996021242807,0.0,0.0,0.0,0.0,0.0,0.0,0.03120228138180711,0.0,0.19895152063660113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08393823875958399,0.0,0.0,0.04782541281740405,0.11715920151636754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.7,17.042482096958725,2.487680196717952,4.152454522292994,4.706628100537123
不用客氣滿滿肉片,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15060525489274676,0.0,0.0,0.0,0.0,0.5379372184407943,0.0,0.0,0.08904163779648379,0.0,0.0,0.0,0.0,0.0,0.0,0.07397799552622052,0.0,0.0,0.07733932394622833,0.0,0.0,0.0,0.07109856939752623,0.5379372184407943,520.0,15.57332826656629,8.797188423795903,2.9267091348055727,5.455856095943343
來自挪威的烤薄鹽鯖魚,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03353333363590565,0.0,0.0,0.015535575696786229,0.0,0.0,0.2436471159563025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04873986193625104,0.0,0.0,0.0,0.0,0.0,0.0,0.11894722987478044,0.0,0.0,0.04548569665007057,0.33389687427666304,0.0,0.10186172747613839,0.058352584497102115,0.33389687427666304,530.0,8.54361353042894,3.267764020823027,2.974471822196403,4.022671750676343
水煮牛肉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14348884650857419,0.0,0.0,0.0,0.0,0.5095707429929187,0.0,0.0,0.07321090806771818,0.0,0.0,0.0,0.0,0.0,0.0,0.12616849822575854,0.0,0.0,0.08753966641134264,0.0,0.0,0.0,0.06002133779368776,0.5095707429929187,550.0,15.15932121586344,8.666876592518484,2.5946667239843055,5.308134856671442
清蒸義式雞腿,0.0,0.2951156057629543,0.0,0.0,0.0,0.0,0.0,0.21012983200232366,0.0,0.0,0.0,0.0,0.0,0.2361243413922663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02403937748100305,0.0,0.0,0.0,0.0,0.0,0.0,0.09800957577385433,0.0,0.0,0.03416171376993782,0.0,0.0,0.0,0.10241955381766052,0.2951156057629543,580.0,10.471806748015977,1.730177117460952,3.6969876601818332,3.8270360639482073
秘製岳母牛腱肉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03185373030314762,0.0,0.0,0.023735433040380966,0.0,0.0,0.2671391652793372,0.0,0.0,0.0,0.0,0.40910894730729025,0.0,0.0,0.03220943513105424,0.0,0.0,0.0,0.0,0.0,0.0,0.09241308219443262,0.0,0.0,0.06537467575206164,0.0,0.0,0.0,0.07816553099229548,0.0,470.0,12.670032957141197,8.09116327577529,3.701630434782609,5.405715534333271
義式水煮雞胸肉,0.0,0.4530225970514389,0.0,0.0,0.0,0.0,0.0,0.06720852378806412,0.0,0.0,0.01793600721045516,0.0,0.0,0.21716345844331422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03292345329298912,0.0,0.0,0.0,0.0,0.0,0.0,0.15234661688019055,0.0,0.0,0.0,0.0,0.0,0.0,0.05939934333354793,0.0,430.0,15.721533187407456,3.326948110474474,2.8370945728449106,4.551075318761113
靈感來自古宇利島的蝦蝦飯,0.0,0.0,0.27821466227873987,0.0,0.0,0.0,0.0,0.04581962106204869,0.0,0.0,0.02062432104287814,0.0,0.0,0.22214877947472683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03623234711483162,0.0,0.0,0.0,0.0,0.10358289667071378,0.0,0.08854599335420793,0.0,0.0,0.05753961914499329,0.0,0.0,0.08717609751421816,0.0601156623426417,0.0,430.0,8.616191729503482,1.837023332161799,3.978512804332545,3.770846169718386
00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1783802979235068,0.0,0.0,0.0,0.0,0.0,0.2012590147359727,0.0,0.0,0.0,0.0,0.0,0.0,0.290329011718823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3300316756216975,0.0,0.0,0.0,0.0,492.0,7.0922215388887455,1.7283500819258493,2.316718213348974,3.045949764838237
01,0.0,0.0,0.0,0.0,0.0,0.0,0.1620097072129879,0.1511934815336937,0.0,0.0,0.0,0.0,0.0,0.39891607896017134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2878807322931471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,4.765827564807331,2.336815582107162,3.8740390472067823,3.4266485572729484
02,0.0,0.25191801283201504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28825962764848234,0.0,0.0,0.4598223595195026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,12.297950320800377,3.4942762714412496,3.7350089474934896,4.622476205288857
